"Område","Ort / Stad","Postkod","Verkstad","Adress","Telefonnr.","  Email ","  Maskinskador","  Plåt & Lack","Reparerar alla märken utanför vagnskadegarantin?","Auktoriserade märken (OBS!)","",""
"Göteborg","Sisjön","436 34","Din Bil Sisjön","Askims Industriväg","031-750 15 00","DBGB.SisjonKMPb@dinbil.se","Ja","Nej","Nej","VW PB, TRP  & SEAT","",""
"Göteborg","Västra Frölunda","421 31","Werksta Göteborg Högsbo","F-O Petersons gata 18","0770-73 00 00","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, KIA, BMW, Mazda, Hyundai, Iveco, Ligier, Microcar, ","",""
"Karlskrona","Karlskrona","371 47","Bilkompani Sydost AB","Gullbernavägen 16","0455-30 97 60","skadecenter@bilkompani.se ","Ja","Ja","Nej","Peugeot, Opel, Mitsubishi, Subaru, Saab","",""
"Karlskrona","Karlskrona","371 49","Holmgrens Bil AB Karlskrona","Vedeby gata 5","0455-355714","kalmar.skverkstad.ev@holmgrensbil.se ","Ja","Nej","Nej","BMW, Hyundai, Nissan, MG","",""
"Linköping","Linköping","582 78","Holmgrens Bil AB Linköping","Gudmundsgatan 11","013-5603562","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW, Ford","",""
"Linköping","Linköping Tallboda","582 72","Werksta Linköping Tallboda","Rydsättersvägen 9","013-27 02 97","kundcenter@werksta.se","Nej","Ja","Ja","BMW, Honda, Tesla, Ligier, Microcar, ","",""
"Linköping","Linköping Tornby","582 73","Werksta Linköping Tornby","Attorpsgatan 23","013-25 47 50","kundcenter@werksta.se","Nej","Ja","Ja"," Peugeot, Fiat, Alfa Romeo, Ligier, Microcar, ","",""
"Norrköping","Norrköping","602 23","Werksta Norrköping Butängen","Fredriksdalsgatan 19","011-36 85 90","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, Mercedes, BMW, Suzuki, Opel, Peugeot, Isuzu, Ligier, Microcar, ","",""
"Norrköping","Åby","616 94","Holmgrens Bil AB Norrköping","Cylindervägen 7","011-4705819","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW, MINI, MG, Ford","",""
"Norrland","Gävle","802 57","Bilbolaget Gävle","Södra Kungsgatan 61-63","020-500 250","kundtjanst@bilbolaget.nu","Ja","Ja","Nej","Volvo, Renault, Dacia","",""
"Norrland","Luleå","971 27","Norrlands Bil - Luleå","Murbruksvägen 3","0920-24 29 30","service.lulea@norrlandsbil.se","Ja","Ja","Nej","Audi, Skoda, VW, VW Transportbilar, Seat","",""
"Norrland","Piteå","941 38","Norrlands Bil - Piteå","Oktanvägen 6","0911-23 40 59","serviceradgivare.pitea@norrlandsbil.se","Ja","Ja","Nej","Audi, Skoda, VW, VW Transportbilar, Seat","",""
"Norrland","Sandviken","811 40","Bilbolaget Sandviken","Gävlevägen 88","020-500 250","kundtjanst@bilbolaget.nu","Ja","Ja","Nej","Volvo, Renault, Dacia","",""
"Norrland","Skellefteå","931 27","Norrlands Bil - Skellefteå","Tjärnvägen 5","0910-71 58 11","	
service.skelleftea@norrlandsbil.se","Ja","Ja","Nej","Audi, Seat, Skoda, VW PB, VW Transportbilar","",""
"Nyköping","Nyköping","611 38","Holmgrens Bil AB Nyköping ","Kocks väg 6","015-5454121","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW, MG, Ford","",""
"Skåne","Lund","224 78","Din Bil Lund","Porfyrvägen 26","040-38 00 00","GemensamService.Lund@dinbil.se","Ja","Ja","Nej","VW, VW Transport, Seat, Skoda","",""
"Skåne","Arlöv","232 61","Werksta Malmö Bernstorp","Kvalitetsvägen 7","040-18 36 45","kundcenter@werksta.se","Nej","Ja","Nej","Tesla, Porsche","",""
"Skåne","Helsingborg","254 66","Werksta Helsingborg","Pistolgatan 3","042-32 84 94","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, Ligier, Microcar,  ","",""
"Skåne","Helsingborg","254 66","Din Bil Helsingborg ","Muskötgatan 1","040-38 00 00","audiservicehbg@dinbil.se","Ja","Ja","Nej","Audi, VW, VW Transport, Skoda, Seat","",""
"Skåne","Helsingborg","254 66","Holmgrens Bil AB Helsingborg ","Garnisongatan 4","042-386173","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","Hyundai","",""
"Skåne","Landskrona","261 51","Din Bil Landskrona ","Malmövägen 29","040-38 00 00","boka@vwlandskrona.se","Ja","Nej","Nej","VW PB, TRP, SEAT & Skoda","",""
"Skåne","Malmö","211 24","Mechanum Malmö","Västkustvägen 17","010-516 80 00","info@mechanum.com","Ja","Ja","Nej","Volkswagen, Audi, Skoda, Saab, Opel, Volvo, Ford, BMW, MINI, Mercedes-Benz","",""
"Skåne","Malmö","211 24","Werksta Malmö Hamn","Sturkögatan 5","040-18 36 45","kundcenter@werksta.se","Nej","Ja","Ja","Ligier, Microcar, ","",""
"Skåne","Malmö","212 39","Din Bil Volkswagen Malmö ","Kabingatan 1","040-38 00 00","kabingatangemensamservice@dinbil.se","Ja","Ja","Nej","VW, VW Transport","",""
"Skåne","Malmö","212 39","Autoforum","Agnesfridsvägen 181","040-38 00 00","DBSY.MALMOSKODAGEMSERVICE@dinbil.se","Ja","Nej","Nej","VW PB, Skoda & SEAT","",""
"Skåne","Malmö","212 39","Din Bil Malmö ","Pilotgatan 2","040-607 33 00","GemensamService.Pilotgatan@dinbil.se","Ja","Nej","Nej","Audi","",""
"Skåne","Mölndal","431 53","Mechanum Skademottagning Mölndal","Argongatan 32","010-516 80 00","info@mechanum.com","Nej","Ja","Nej","Volkswagen, Audi, Skoda, Saab, Opel, Volvo, Ford, BMW,MINI","",""
"Skåne","Malmö","212 25","Autoklinik I Malmö","Strömgatan 7","040-93 14 50","skada@autoklinik.se","Nej","Ja","Ja","Isuzu, Subari, Merdeces, Tesla, Bentley, Hyundai, McLaren, Fiat, Honda, ","",""
"Skåne","Trelleborg","231 65 ","Din Bil Trelleborg ","Tommarpsvägen 40-42","040-38 00 00","boka@vwtrelleborg.se","Ja","Nej","Nej","VW PB, TRP, Audi, SEAT & Skoda","",""
"Skövde","Skövde","541 63","Holmgrens Bil AB Skövde","Plantvägen 1","0500-103017","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW,Mini, Nissan, Hyundai, MG","",""
"Småland","Huskvarna","561 32","Holmgrens Bil AB Huskvarna - Vätternäs","Thulevägen 2","036-347618","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Ja","Nej","BMW, Hyundai, Mini, Nissan, Saab, Ford, Peugeot, Opel, MG, Tesla","",""
"Småland","Jönköping","550 06","Holmgrens Bil AB Jönköping - Österängen","Österängesvägen 3","036-346887","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW, Hyundai, Mini, Nissan,  Saab, Ford","",""
"Småland","Kalmar","392 45","Bilkompani Kalmar AB","Södravägen 72","0480-48 00 90","skadecenter@bilkompani.se ","Ja","Ja","Nej","Volkswagen, Audi, Seat, Skoda","",""
"Småland","Kalmar","393 56","Bilkompani Sydost AB","Engelskavägen 2","0480-42 50 33","skadecenter@bilkompani.se ","Ja","Ja","Nej","Volkswagen, Peugeot, Opel, Mitsubishi, Subaru, Saab","",""
"Småland","Kalmar","393 56","Holmgrens Bil AB Kalmar - Engelska vägen","Engelskavägen 6","0480-425260","kalmar.skverkstad.ev@holmgrensbil.se ","Ja","Ja","Nej","BMW, Hyundai, Mazda, Mini, Nissan, MG","",""
"Småland","Kalmar","392 39","Holmgrens Bil AB Kalmar - Dragonvägen","Dragonvägen 1","0480-408644","kalmar.skverkstad.ev@holmgrensbil.se ","Ja","Nej","Nej","BMW, Hyundai, Mazda, Mini, Nissan, MG","",""
"Småland","Nybro","382 45","Liljas Personbilar - Nybro","Jutarnas Väg 5","0481-44400","lpnybro@liljasbil.se","Ja","Ja","Nej","Volvo, Renault, Dacia, Polestar, Levc","",""
"Småland","Nässjö","571 38","Holmgrens Bil AB Nässjö","Sörängsvägen 62","0380-514312","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","Hyundai, Ford, MG","",""
"Småland","Oskarshamn","572 36","Bilkompani Sydost AB","Inkörningsvägen 1","0491-76 82 10","skadecenter@bilkompani.se ","Ja","Ja","Nej","Kia, Opel, Subaru","",""
"Småland","Tingsryd","362 30","Liljas Personbilar - Tingsryd","Södra Storgatan 113","0477-45144","lptingsryd@liljasbil.se","Ja","Ja","Nej","Volvo, Renault, Dacia","",""
"Småland","Vetlanda","574 22","Holmgrens Bil AB Vetlanda","Bilgatan 1","0383-763006","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW, Mini,Hyundai, Nissan, MG, Ford","",""
"Småland","Vimmerby","598 22","Holmgrens Bil AB Vimmerby","Blomgatan 5","0704-317373","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","BMW, Hyundai, Nissan, MG, Ford","",""
"Småland","Värnamo","331 44","Holmgrens Bil AB Värnamo","Bredastensvägen 4","0370-694413","varnamo.verkstadbredastensvagen@holmgrensbil.se","Ja","Nej","Nej","BMW, Hyundai, Mazda, Mini","",""
"Småland","Värnamo","331 44","Holmgrens Bil AB Värnamo","Bredastensvägen 4","0370-694435","varnamo.verkstadbredastensvagen@holmgrensbil.se","Ja","Ja","Nej","BMW, Hyundai, Mazda, Mini","",""
"Småland","Växjö","352 36","Holmgrens Bil AB Växjö","Vaktvägen 3","0470-700400","vaxjo.verkstad@holmgrensbil.se ","Ja","Ja","Nej","BMW, Hyundai, Mini, Nissan, MG, Ford","",""
"Småland","Växjö","352 46","Liljas Personbilar - Växjö","Ljungadalsgatan 1","0470-775600","lpvaxjo@liljasbil.se","Ja","Ja","Nej","Volvo, Renault, Dacia, Polestar, Levc","",""
"Stockholm C","Östermalm","114 33","Din Bil PORSCHE ","Södra fiskartorpsvägen 22","08-503 339 50","service@porsche-ostermalm.se ","Ja","Nej","Nej","Porsche","",""
"Stockholm C","Östermalm","114 33","Din Bil Östermalm","Södra fiskartorpsvägen 22","08-503 330 00","info.ostermalm@dinbil.se  ","Ja","Nej","Nej","VW PB, Audi & Porsche","",""
"Stockholm Nord","Bredden","194 61","Din Bil Bredden (Skoda)","Kanalvägen 1F","08-503 330 00","dbstslagstakontor@dinbil.se","Ja","Nej","Nej","Skoda","",""
"Stockholm Nord","Bredden","194 61","Din Bil Bredden(VW)","Kanalvägen 10-12","08-503 330 00","service.bredden@vwstockholm.se ","Ja","Nej","Nej","VW PB ","",""
"Stockholm Nord","Danderyd","182 36","Werksta Danderyd","Rinkebyvägen 8","08-622 92 00","kundcenter@werksta.se","Nej","Ja","Ja","Audi, VW, Tesla, BMW, Mercedes, Mitsubishi, Aston Martin, Mini, Smart, Bentley, Ligier, Microcar, ","",""
"Stockholm Nord","Danderyd","182 36 ","Din Bil PORSCHE","Rinkebyvägen 5","08-503 336 00","service@porsche-danderyd.se","Ja","Nej","Nej","Porsche","",""
"Stockholm Nord","Danderyd","182 36 ","Din Bil Danderyd","Ryttarvägen 2","08-503 336 00","verkstad.danderyd@audistockholm.se","Ja","Nej","Nej","Audi","",""
"Stockholm Nord","Kista","164 74","Din Bil Kista","Malaxgatan 2","08-503 330 00","skadeverkstad.kista@vwstockholm.se ","Ja","ja","Nej","VW PB & TRP","",""
"Stockholm Nord","Kista","164 74","Din Bil Audi Center Kista","Raseborgsgatan 2","08-503 336 00","skadeverkstad.kista@vwstockholm.se","Ja","Nej","Nej","Audi","",""
"Stockholm Nord","Täby","187 30","Din Bil Täby","Gamla norrtäljevägen 105-107","08-503 330 00","service.taby@vwstockholm.se","Ja","Ja","Nej","VW, VW Transport, Skoda, SEAT","",""
"Stockholm Nord","Järfälla","175 62","Werksta Stockholm Barkarby","Saldovägen 12","08-795 05 00","kundcenter@werksta.se","Ja","Ja","Nej","Ford, Mazda, Nissan, Peugeot","",""
"Stockholm Syd","Gustavsberg","134 39","Din Bil Värmdö","Leveransvägen 1","08-503 330 00","varmdo.verkstad@vwstockholm.se ","Ja","Nej","Nej","VW PB & TRP","",""
"Stockholm Syd","Hammarby","120 30","Din Bil Hammarby Sjöstad","Hammarby fabriksväg 45","08-503 330 00","dbstplathammarby@dinbil.se ","Ja","Ja","Nej","Audi, VW, VW Transport","",""
"Stockholm Syd","Haninge","136 44","Werksta Stockholm Haninge","Anläggarvägen 18","08-448 58 50","kundcenter@werksta.se","Ja","Ja","Ja","Volvo, BMW, VW, SEAT, Skoda, VW Transport, Ford, Ligier, Microcar, Mini, ","",""
"Stockholm Syd","Nacka","132 35","Werksta Stockholm Nacka","Boovägen 83","08-574 407 70","kundcenter@werksta.se","Ja","Ja","Ja","Audi, VW, VW Transport, Skoda, Seat, Ligier, Microcar, ","",""
"Stockholm Syd","Slagsta","145 53","Din Bil Slagsta Skadecenter","Sjöbodavägen 2","08-503 339 50","dbstslagstakontor@dinbil.se","Nej","Ja","Nej","Porsche, Audi, VW, VW Transport, Seat, Skoda","",""
"Stockholm Syd","Smista","141 74","Din Bil PORSCHE ","Smista allè 44","08-503 339 50","service@porsche-stockholm.se","Ja","Nej","Nej","Porsche","",""
"Stockholm Syd","Smista","141 74","Din Bil Smista VW","Smista allè 13","08-503 330 00","servicepb.smista@vwstockholm.se ","Ja","Nej","Nej","VW PB & TRP","",""
"Stockholm Syd","Smista","141 74","Din Bil Smista Audi","Smista allè 46-48","08-503 336 00","dbstkundmottagareaudismista@dinbil.se     ","Ja","Nej","Nej","Audi","",""
"Stockholm Syd","Sätra","127 39","Werksta Stockholm Sätra","Stensätravägen 2","08-449 48 40","kundcenter@werksta.se","Ja","Ja","Ja"," VW, Seat, Skoda, VW Transport, Peugeot, Tesla,  Ligier, Microcar, ","",""
"Stockholm Syd","Sätra","127 35","Din Bil Sätra","Murmästarvägen 35A","08-503 330 00","dbstslagstakontor@dinbil.se","Ja","Nej","Nej","Skoda & SEAT","",""
"Stockholm Syd","Västberga","126 30","Werksta Stockholm Västberga","Västberga Allé 30","08-556 755 30","kundcenter@werksta.se","Nej","Ja","Ja","Honda, Kia, Subaru, Ligier, Microcar, ","",""
"Stockholm Syd","Skärholmen","127 35","Werksta Stockholm Bredäng","Bredängsvägen 205","08-795 05 50","kundcenter@werksta.se","Ja","Ja","Nej","Ford, Mazda, Peugeot","",""
"Stockholm Väst","Bromma","168 67","Din Bil Bromma","Ulvsundavägen 120-132","08-503 330 00","skadevst.bromma@vwstockholm.se ","Ja","Ja","Nej","Audi, VW, VW Transport, Skoda, SEAT","",""
"Stockholm Väst","Bromma","168 67","SveaPlans Bil, Plåt & Lack","Ranhammarsvägen 13","08-25 25 90","info@sveaplan.se","Nej","Ja","Ja","Ford, Nissan, Citroën, ","",""
"Södertälje","Södertälje","151 38","Din Bil Södertälje","Forskargatan 13","08-503 330 00","dbstplatSoedertaelje@dinbil.se","Ja","Ja","Nej","Audi, VW, VW Transport, Skoda, Seat","",""
"Södertälje","Södertäljekanalen","151 38","Werksta Södertäljekanalen","Industrivägen 21","08-550 855 43","kundcenter@werksta.se","Nej","Ja","Ja","Honda, Mercedes, Fiat, BMW, Mini, Ligier, Microcar, ","",""
"Uppsala","Uppsala","754 54","Werksta Uppsala","Grafikgatan 30","018-707 02 00","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, BMW, Mini,  ","",""
"Visby","Visby","621 99","Werksta Gotland Visby","Backskogsvägen 6","0498-26 21 27","kundcenter@werksta.se","Nej","Ja","Nej","VW, Audi, Skoda, Seat VW  Transport, Toyota ","",""
"Visby","Visby","621 41","Gotlands Plåt & Billack","Verkstadsgatan 7 E","0498-20 52 29","skador@gotlandsbilplat.se","Nej","Ja","Ja","","",""
"Örebro","Örebro","703 69","Holmgrens Bil AB Örebro","Karosserigatan 9","019-308981","jonkoping.skadecenterthulevagen@holmgrensbil.se","Ja","Nej","Nej","Hyundai, Ford","",""
"Örebro","Örebro","703 69","Werksta Örebro              ","Bettorpsgatan 24","019-31 02 20","kundcenter@werksta.se","Nej","Ja","Ja","Tesla, BMW, Honda, Hyundai, Nissan, Ligier, Microcar, ","",""
"","","","","","","","","","","","",""
